condition_group,matrix_name,ecm_program,metric,observed_value,random_mean,random_std,z_score_vs_random,empirical_p_higher_is_better,n_random_repeats,n_program_genes
uncertain,mean_log_nsaf,Immune/lymphoid remodeling ECM,mean_tissue_score,2.3676939189568826,1.2594854625366743,0.2966397967614664,3.735872490875995,0.002997002997002997,1000,41
uncertain,mean_log_nsaf,Immune/lymphoid remodeling ECM,max_tissue_score,5.1346842659496135,4.515161694239227,0.35769983621396884,1.7319621341391964,0.015984015984015984,1000,41
uncertain,mean_log_nsaf,Immune/lymphoid remodeling ECM,top3_mean_tissue_score,3.740741540660215,2.434775953922659,0.34999602957976217,3.7313725767278556,0.000999000999000999,1000,41
uncertain,mean_log_nsaf,Immune/lymphoid remodeling ECM,variance_tissue_score,1.8593563162643778,1.7586697141547785,0.3034952428268333,0.33175677210548093,0.38161838161838163,1000,41
uncertain,mean_log_nsaf,Stromal remodeling ECM,mean_tissue_score,3.0871545024960874,1.2799507257279252,0.5391686818827582,3.3518337349592886,0.004995004995004995,1000,13
uncertain,mean_log_nsaf,Stromal remodeling ECM,max_tissue_score,4.952257497067866,4.554560055226036,0.6531519383396521,0.608889629651562,0.25874125874125875,1000,13
uncertain,mean_log_nsaf,Stromal remodeling ECM,top3_mean_tissue_score,4.440375356079638,2.592687542778051,0.6734893781282639,2.7434550169694,0.008991008991008992,1000,13
uncertain,mean_log_nsaf,Stromal remodeling ECM,variance_tissue_score,2.2876242853127886,2.0727441822672112,0.640522955313822,0.33547603760789124,0.36163836163836166,1000,13
uncertain,mean_log_nsaf,Renal/endothelial basement membrane ECM,mean_tissue_score,2.3550206975103483,1.2705617874383706,0.4448039161462442,2.438060616614323,0.02097902097902098,1000,18
uncertain,mean_log_nsaf,Renal/endothelial basement membrane ECM,max_tissue_score,5.411466279192012,4.547654053073054,0.5158153019878929,1.6746541306353737,0.014985014985014986,1000,18
uncertain,mean_log_nsaf,Renal/endothelial basement membrane ECM,top3_mean_tissue_score,4.310031630879485,2.5418855787076255,0.5271037235823842,3.3544556281160576,0.003996003996003996,1000,18
uncertain,mean_log_nsaf,Renal/endothelial basement membrane ECM,variance_tissue_score,3.218285105017529,1.938609246230707,0.46042549041391856,2.7793332155359267,0.006993006993006993,1000,18
uncertain,mean_log_nsaf,Hepatic/plasma-associated ECM,mean_tissue_score,2.531821673346995,1.2491411672786834,0.3267174201105497,3.9259630099744833,0.001998001998001998,1000,32
uncertain,mean_log_nsaf,Hepatic/plasma-associated ECM,max_tissue_score,5.220255600379244,4.508445682891397,0.40354377969964883,1.7638976321667896,0.015984015984015984,1000,32
uncertain,mean_log_nsaf,Hepatic/plasma-associated ECM,top3_mean_tissue_score,3.8355256661888135,2.4443871066828713,0.3840952708441393,3.6218580782017686,0.001998001998001998,1000,32
uncertain,mean_log_nsaf,Hepatic/plasma-associated ECM,variance_tissue_score,1.9502938537663863,1.794882191645644,0.35286735489535603,0.4404251625000279,0.33966033966033965,1000,32
uncertain,mean_log_nsaf,Reproductive-specialized ECM,mean_tissue_score,2.174026080091913,1.2538979613325474,0.400797494783332,2.295743188855958,0.024975024975024976,1000,23
uncertain,mean_log_nsaf,Reproductive-specialized ECM,max_tissue_score,5.361274413860057,4.526142022790625,0.48608320780066855,1.7180852530332646,0.016983016983016984,1000,23
uncertain,mean_log_nsaf,Reproductive-specialized ECM,top3_mean_tissue_score,3.8071811699892533,2.488735751840849,0.47306881299218567,2.7870055728450294,0.013986013986013986,1000,23
uncertain,mean_log_nsaf,Reproductive-specialized ECM,variance_tissue_score,2.675915186172734,1.8727446790148148,0.4318382277235379,1.859887466174272,0.016983016983016984,1000,23
