representation_family,model,label_col,n_representations,representations,accuracy_family_mean,accuracy_family_std,accuracy_family_min,accuracy_family_max,balanced_accuracy_family_mean,balanced_accuracy_family_std,balanced_accuracy_family_min,balanced_accuracy_family_max,macro_f1_family_mean,macro_f1_family_std,macro_f1_family_min,macro_f1_family_max,weighted_f1_family_mean,weighted_f1_family_std,weighted_f1_family_min,weighted_f1_family_max
matrisome_pca,dense_mlp,tissue_system,1,matrisome_pca9,0.9753889685519026,0.0,0.9753889685519026,0.9753889685519026,0.9769061247295762,0.0,0.9769061247295762,0.9769061247295762,0.9637194633737665,0.0,0.9637194633737665,0.9637194633737665,0.9758978865197762,0.0,0.9758978865197762,0.9758978865197762
curated_ecm,dense_mlp,tissue_system,1,curated_9_ecm_programs,0.9542651339187831,0.0,0.9542651339187831,0.9542651339187831,0.9640743553234769,0.0,0.9640743553234769,0.9640743553234769,0.94987587599592,0.0,0.94987587599592,0.94987587599592,0.9543684273114901,0.0,0.9543684273114901,0.9543684273114901
random_matrisome,dense_mlp,tissue_system,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8974628622012046,0.008389090617622412,0.8872547776418633,0.9157062729547281,0.9071768021858346,0.01049603756860876,0.8860477436424048,0.9188340769191571,0.8701995307103807,0.01326104025893523,0.8478079547812369,0.8897692941211194,0.8987394004090715,0.008293295809885382,0.8897480972296744,0.9170726663502966
random_non_ecm,dense_mlp,tissue_system,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.6680560709282187,0.028524232714862055,0.6166358975459152,0.7084596757232212,0.6774585945199079,0.035102670855721635,0.6212444854911869,0.7198940025454104,0.6009092999304646,0.035756532807936496,0.5398465128877687,0.649584966675176,0.6791398859784905,0.025845247413964312,0.6328058197084604,0.7196952609751996
matrisome_pca,extra_trees,tissue_system,1,matrisome_pca9,0.972508393987258,0.0,0.972508393987258,0.972508393987258,0.9559313013443292,0.0,0.9559313013443292,0.9559313013443292,0.9640882537095097,0.0,0.9640882537095097,0.9640882537095097,0.972092101827085,0.0,0.972092101827085,0.972092101827085
curated_ecm,extra_trees,tissue_system,1,curated_9_ecm_programs,0.937335770855545,0.0,0.937335770855545,0.937335770855545,0.9291484491481408,0.0,0.9291484491481408,0.9291484491481408,0.9333867449732252,0.0,0.9333867449732252,0.9333867449732252,0.9364728376695701,0.0,0.9364728376695701,0.9364728376695701
random_matrisome,extra_trees,tissue_system,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8886848055709539,0.007290288397950597,0.8793205202516237,0.9053467269355782,0.8629960857661656,0.012846143247953119,0.8456019722872264,0.8823232001962399,0.8639355933006236,0.01588693874877351,0.8389705803541252,0.8880466818016964,0.8873963645516287,0.007247775971460788,0.8786682853706955,0.9038910211221058
random_non_ecm,extra_trees,tissue_system,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.7003130073249534,0.024810797655152022,0.6551439342308288,0.7357996644831382,0.6408771360175,0.039063585274762766,0.5778333101334721,0.6931921282069682,0.6249091796803233,0.03633482856500788,0.5663136841230028,0.6726436939164262,0.6990667761189268,0.023206646380617663,0.6572496523302366,0.7332173498493626
matrisome_pca,ft_transformer_lite,tissue_system,1,matrisome_pca9,0.9665451353439061,0.0,0.9665451353439061,0.9665451353439061,0.9722247798109065,0.0,0.9722247798109065,0.9722247798109065,0.9502444037537486,0.0,0.9502444037537486,0.9502444037537486,0.9677278814950452,0.0,0.9677278814950452,0.9677278814950452
curated_ecm,ft_transformer_lite,tissue_system,1,curated_9_ecm_programs,0.9411763496495871,0.0,0.9411763496495871,0.9411763496495871,0.9545005810645885,0.0,0.9545005810645885,0.9545005810645885,0.9303102761597323,0.0,0.9303102761597323,0.9303102761597323,0.9416251724577954,0.0,0.9416251724577954,0.9416251724577954
random_matrisome,ft_transformer_lite,tissue_system,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.872387262362974,0.009941551801416105,0.8612796250955987,0.8950880121998702,0.8896750299167764,0.011270419977544533,0.8670184844351188,0.9051080237951432,0.8416572348481453,0.014371362189455263,0.8172237227029671,0.8638200930117957,0.8750807312143074,0.009350630880855278,0.8625051629724542,0.8956812675830692
random_non_ecm,ft_transformer_lite,tissue_system,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.6455928620237028,0.027513793534958766,0.6005636642415313,0.6833935754280189,0.6641941787800489,0.033713457944782615,0.6077219740330635,0.7015053285833156,0.5849433793237794,0.03407934925613486,0.533130716359205,0.6291698784627525,0.6582104699940835,0.02528888712676943,0.618056740111958,0.6962416275170308
matrisome_pca,logistic_regression,tissue_system,1,matrisome_pca9,0.9200017673568425,0.0,0.9200017673568425,0.9200017673568425,0.9129635125754337,0.0,0.9129635125754337,0.9129635125754337,0.8832381415703532,0.0,0.8832381415703532,0.8832381415703532,0.9274751816871575,0.0,0.9274751816871575,0.9274751816871575
curated_ecm,logistic_regression,tissue_system,1,curated_9_ecm_programs,0.8432884176958902,0.0,0.8432884176958902,0.8432884176958902,0.887273856280863,0.0,0.887273856280863,0.887273856280863,0.8422935268625829,0.0,0.8422935268625829,0.8422935268625829,0.8434425663498043,0.0,0.8434425663498043,0.8434425663498043
random_matrisome,logistic_regression,tissue_system,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.7062760220628451,0.026669009439831522,0.6591872099552248,0.7482817498824847,0.7611575400942184,0.01686745651892127,0.723557111808138,0.7792080830475006,0.6860566213096877,0.0183607722216496,0.6376440133347556,0.7083718960853332,0.7081881170745401,0.027667883877488107,0.6577716724099552,0.7511807193068106
random_non_ecm,logistic_regression,tissue_system,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.5319581969027072,0.02351031095057837,0.5005048459928568,0.5705474451669239,0.5569797850083369,0.033500399288636705,0.4963751618879722,0.596102898686328,0.47930527658051447,0.02722526052898375,0.4320828417545637,0.5122427559335428,0.5422504670113658,0.021462922586718353,0.5137448712676141,0.5787224866349492
matrisome_pca,residual_mlp,tissue_system,1,matrisome_pca9,0.9759448303726914,0.0,0.9759448303726914,0.9759448303726914,0.9777337641948687,0.0,0.9777337641948687,0.9777337641948687,0.9646108903159722,0.0,0.9646108903159722,0.9646108903159722,0.9763679157017264,0.0,0.9763679157017264,0.9763679157017264
curated_ecm,residual_mlp,tissue_system,1,curated_9_ecm_programs,0.9524960148274089,0.0,0.9524960148274089,0.9524960148274089,0.9609422495577113,0.0,0.9609422495577113,0.9609422495577113,0.9482055865918652,0.0,0.9482055865918652,0.9482055865918652,0.9525046934646266,0.0,0.9525046934646266,0.9525046934646266
random_matrisome,residual_mlp,tissue_system,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8937839595254851,0.010292170464949589,0.8807855875625071,0.91540340877674,0.903538105311162,0.011900209211050007,0.8781613517316826,0.9168987877529515,0.8656485027356089,0.01582570297564683,0.8396401451044687,0.8890480999532139,0.8955072607106995,0.00983037761512909,0.8831991117160104,0.9165116275960035
