representation,representation_family,representation_kind,model,label_col,n_folds,mean_n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
random_matrisome_programs_r6,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8898395721925134,0.0031707425345094964,0.8720831401066824,0.00875392401555892,0.8491500646156569,0.002412081200075389,0.8918813309612936,0.004035173465721308
random_matrisome_programs_r2,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8606569900687548,0.0014970143576978872,0.8712618036212125,0.002414664219721596,0.8404463148417222,0.00425014070263687,0.8635248514166249,0.002106811165025832
random_matrisome_programs_r5,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8700280112044819,0.005828253425381219,0.8663489878324189,0.007829262170574992,0.8281822070380247,0.00954838070410488,0.8749583817204065,0.004546126330754204
random_matrisome_programs_r4,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8617774382480266,0.008675068200398695,0.8552134765302695,0.0066613135839310505,0.8099643496233158,0.010697524015252117,0.8665381433781162,0.007460334082531906
random_matrisome_programs_r10,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8358034122740005,0.013451935649637014,0.8531558789334179,0.006873147645239009,0.8040216221142529,0.007375509432948743,0.8394523962776308,0.013643831216118583
random_matrisome_programs_r9,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8609625668449198,0.005539383929179019,0.8528642961732356,0.006822453173061628,0.8138771194366271,0.00646328524006672,0.8636825046868688,0.0057059963030848355
random_matrisome_programs_r1,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8592309651133181,0.008658607807426895,0.8466127166906758,0.005506997052761414,0.8094905613543822,0.007258880470423045,0.8645272218297622,0.007758639797246419
random_matrisome_programs_r8,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8501145912910619,0.013333990847999315,0.8433746610787992,0.009663647945003326,0.8060958959770972,0.013408067961196295,0.8565761100907908,0.011836486793229193
random_matrisome_programs_r3,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8240387063916476,0.00945424235299233,0.8415024421409516,0.011955437699527735,0.7904403882068722,0.009894314986672563,0.8301322528673083,0.009181508330727213
random_matrisome_programs_r7,random_matrisome,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.8440030557677616,0.008967924962935393,0.8354235764043565,0.006292028785060289,0.7964578507697319,0.00854996686389713,0.8478743377272796,0.008109160832689189
random_non_ecm_programs_r4,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.638961038961039,0.009595035079936972,0.6299734985570515,0.009036040161417666,0.566735968626582,0.005823265195982802,0.6560756044732357,0.008102800640406756
random_non_ecm_programs_r6,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.6384008148714031,0.019148394336757597,0.6241037797635095,0.018076264566638797,0.5646378099861014,0.015620377076007013,0.6542550656741246,0.0159706960329989
random_non_ecm_programs_r8,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.5899159663865546,0.008495608383113749,0.616724387164228,0.007202182898389889,0.5468743250827519,0.008965283188484736,0.6005806763749135,0.010299233419462494
random_non_ecm_programs_r5,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.6183855360325948,0.010867922520681753,0.610960968341292,0.009101637385141895,0.5509457838769629,0.006065227192620155,0.6318828811968034,0.010056219301637135
random_non_ecm_programs_r10,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.604532722179781,0.01101890439528926,0.6059924696012171,0.010542513349656803,0.5475005698577456,0.011577351214169355,0.6204594032743844,0.007972000614464228
random_non_ecm_programs_r3,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.5812579577285459,0.0055734612764164046,0.5966064699350749,0.010506608178960054,0.5242689491693464,0.007039390713745844,0.5955632577405771,0.00532494926207962
random_non_ecm_programs_r2,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.6116628469569646,0.010125873593553287,0.5918627723401523,0.012169910306136567,0.534073808507751,0.011838245168293985,0.6255643134894981,0.01081275514692378
random_non_ecm_programs_r7,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.5727527374586198,0.009098288727859073,0.5717619440948501,0.005155443889065624,0.5124451880018611,0.004347367934156651,0.5902703555880655,0.006619041793979971
random_non_ecm_programs_r1,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.5662846956964603,0.014426978315187616,0.5539122973472859,0.01609630475983629,0.49475887662200646,0.014059990582424277,0.5809928211699088,0.01157122933685559
random_non_ecm_programs_r9,random_non_ecm,gene_set_scores,ft_transformer_lite,tissue,5,9.0,0.5452508276037688,0.00713630638944251,0.533535653444843,0.007327584909221907,0.4771600702650714,0.003798225287013123,0.5643028001333491,0.006823321703240196
matrisome_pca9,matrisome_pca,pca9,logistic_regression,tissue,5,9.0,0.9395976572447161,0.0042409291105813315,0.9330362761378973,0.005428203228145716,0.9162071479033835,0.0027570955606353235,0.9405622293329146,0.004078829825899565
curated_9_ecm_programs,curated_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.8647313470842883,0.005086321130123316,0.8609026441353637,0.00890407410965689,0.8292325455376529,0.006977169448473834,0.8692944479291563,0.0039373127417448705
