source,destination,status,size_mb,sha256,reason
E:\Projects\ECM\ecm_latent_space\outputs\final_results_v0.5\reports\final_results_v0.5_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\final_results_v0.5_summary.md,copied,0.0028,0bccb9f644deb64d43870aca42da0b2670ae09adcf2b9b9f47a3af2c9dbfc722,
E:\Projects\ECM\ecm_latent_space\outputs\final_results_v0.6\reports\final_results_v0.6_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\final_results_v0.6_summary.md,copied,0.0026,c5a3743f5c35cfc4a762fe17702d5e5dc4a227d4ad3a9ca28d142c6d8c88eb6c,
E:\Projects\ECM\ecm_latent_space\outputs\matrisomedb_validation\summary\matrisomedb_validation_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\matrisomedb_validation_summary.md,copied,0.0059,387d695a19dbafa3a04a66716a665a30192494293290d830b94d68cc1c45f1d4,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\gtex_v11_sample_level_validation_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\gtex_v11_sample_level_validation_summary.md,copied,0.0029,50de9afa4c0018f3bb054b9d5761894ae92ca047a76248f0a0d7510cefe5848d,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\classification\gtex_v11_donor_stratified_classification_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\gtex_v11_donor_stratified_classification_summary.md,copied,0.0016,a8caed833700d0d708dc63dde2d92196c41f5af6c621d0a472f4cbb165df6bdd,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\model_benchmark\gtex_v11_ecm_classifier_benchmark_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\gtex_v11_ecm_classifier_benchmark_summary.md,copied,0.0022,38b1ce9b5fc1fc21e19324c2075e7896e548dab09c1b312debc15646b7ba6cc1,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\deep_tabular_benchmark\gtex_v11_deep_tabular_benchmark_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\gtex_v11_deep_tabular_benchmark_summary.md,copied,0.0031,ada394ef419840bcda6682be0ab9e859663d3b70decb3a63102df04a1322ca60,
E:\Projects\ECM\ecm_latent_space\outputs\tabula_sapiens_pseudobulk\final_route_b\reports\route_b_final_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\route_b_final_summary.md,copied,0.0055,af6c56c09766252c0c58f3f3a4c426ae7edf14821ac8fdf039e0247b44f9beac,
E:\Projects\ECM\ecm_latent_space\outputs\rank_based_ecm_program_scoring\reports\rank_based_ecm_program_scoring_summary.md,E:\Projects\ECM\ecm-program-atlas\results\reports\frozen\rank_based_ecm_program_scoring_summary.md,copied,0.0025,1560cb4adf863cefe2df9bcf88cebebb4abe72b6d41a141f1fa9cc5c22a4647b,
E:\Projects\ECM\ecm_latent_space\outputs\latent_baseline_embeddings\rna_tissue_consensus\curated_recurring_ecm_programs\combined_nmf_module_annotations_curated_programs.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\combined_nmf_module_annotations_curated_programs.csv,copied,0.0195,4778270b120544374bcf9b23057d4c939f04ddae17f177642c6149941c72dd27,
E:\Projects\ECM\ecm_latent_space\outputs\latent_baseline_embeddings\rna_tissue_consensus\curated_recurring_ecm_programs\curated_recurring_ecm_program_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\curated_recurring_ecm_program_summary.csv,copied,0.0042,e8270c1c9501833972b6b1bc03a908e6b5951935f40fa319c5f014b920719a0b,
E:\Projects\ECM\ecm_latent_space\outputs\matrisomedb_validation\summary\matrisomedb_gene_support_clean_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\matrisomedb_gene_support_clean_summary.csv,copied,0.0028,78c5edd87e934c2f7ba1a0e404dad1bf5fd27edc789c52491994308a2d8a8574,
E:\Projects\ECM\ecm_latent_space\outputs\matrisomedb_validation\summary\matrisomedb_program_validation_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\matrisomedb_program_validation_summary.csv,copied,0.004,0baae7ba6bd171751fb4920fe1afd63eb186c3bc1c6461ae66609005512ed787,
E:\Projects\ECM\ecm_latent_space\data\processed\gtex_v11_sample_level\gtex_v11_global_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\gtex_v11_global_summary.csv,copied,0.0002,aa270785f395b985b4d9df39ec259c79259f9471566e982905b46d5185f97700,
E:\Projects\ECM\ecm_latent_space\data\processed\gtex_v11_sample_level\gtex_v11_program_gene_availability.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\gtex_v11_program_gene_availability.csv,copied,0.0026,1facdb10b488f9b56d8dacea19829d5c044dab60c2622c65cb6e910b05f917b5,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\deep_tabular_benchmark\tables\gtex_v11_deep_tabular_benchmark_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\gtex_v11_deep_tabular_benchmark_summary.csv,copied,0.0042,83824419ad11aabbda630099e50dc12468e61d1cf1f8d9fbc5ebd4b7c155f4bd,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\model_benchmark\tables\gtex_v11_ecm_classifier_benchmark_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\gtex_v11_ecm_classifier_benchmark_summary.csv,copied,0.003,76551f9186fbee2af9163fb8814d58a515a8759cf4ae7a1ea080e1cc477ba1b7,
E:\Projects\ECM\ecm_latent_space\outputs\gtex_v11_sample_level_validation\classification\tables\gtex_v11_donor_stratified_classification_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\gtex_v11_donor_stratified_classification_summary.csv,copied,0.0021,d493b71b27b36dc35f4a93510ec0284715a3a89827b90dfe55b1a724089171ea,
E:\Projects\ECM\ecm_latent_space\data\processed\tabula_sapiens\tabula_sapiens_global_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\tabula_sapiens_global_summary.csv,copied,0.0003,41a4e29a28d2919c5d276d7db0870fda0d20558fd58683ab57dfa7abbecbd417,
E:\Projects\ECM\ecm_latent_space\outputs\tabula_sapiens_pseudobulk\final_route_b\tables\route_b_program_source_summary.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\route_b_program_source_summary.csv,copied,0.0034,c32a831724e60a5dc93fcab6b67ea21ad61583e68d7a944fd91163bd079e419e,
E:\Projects\ECM\ecm_latent_space\outputs\tabula_sapiens_pseudobulk\final_route_b\tables\route_b_consensus_celltype_sources.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\route_b_consensus_celltype_sources.csv,copied,0.0183,ae20ce13bc3b2f1d57d4606f0a78fa967f6c128be3ef97e6bb9de36b21955f0b,
E:\Projects\ECM\ecm_latent_space\outputs\rank_based_ecm_program_scoring\tables\rank_based_all_rank_vs_mean_score_correlation.csv,E:\Projects\ECM\ecm-program-atlas\results\tables\frozen\rank_based_all_rank_vs_mean_score_correlation.csv,copied,0.0018,1559673113fda30e6d335b319444933062ef0a4bd574f1bb7dadb631a4a6670c,
E:\Projects\ECM\ecm_latent_space\docs\current_findings.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\current_findings.md,copied,0.0014,aa3b3a698d485d275a14a8f2357af699b2b7d6a7e883bc321828fa3853144a7b,
E:\Projects\ECM\ecm_latent_space\docs\figure_legends_v0.1.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\figure_legends_v0.1.md,copied,0.003,abfa17a376f7c8f077cef982ec8116df7253232d0d5f62f47a11c9f2d0531393,
E:\Projects\ECM\ecm_latent_space\docs\figure_qc_v0.1.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\figure_qc_v0.1.md,copied,0.0037,871f4e11359c9ca87d3c8dabe527431aac2fda359e78310d66bcfe47ffa514ae,
E:\Projects\ECM\ecm_latent_space\docs\freeze_v0.4.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\freeze_v0.4.md,copied,0.0011,4c2195ae1cc12182831aa3ff054170058ac1529ee1a48a50acc0cee087d7efd2,
E:\Projects\ECM\ecm_latent_space\docs\manuscript_draft_v0.2.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\manuscript_draft_v0.2.md,copied,0.0067,9dfef9d9b80fc1cc79f9e84b894b6d3b0bf94dcfb50c68b9510e98a1097dd76c,
E:\Projects\ECM\ecm_latent_space\docs\manuscript_figure_table_plan_v0.1.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\manuscript_figure_table_plan_v0.1.md,copied,0.0055,5aa91cd7ed5c80427b8b91181ab4542768a133b319d492c4728b2dc866e8be3e,
E:\Projects\ECM\ecm_latent_space\docs\project_status_v0.1.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\project_status_v0.1.md,copied,0.0014,ab3aa02676bfd0869310b19386c00a32c760fef1fbc3f155e1d16a04bb52c0ed,
E:\Projects\ECM\ecm_latent_space\docs\project_summary.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\project_summary.md,copied,0.0195,64d9df4b8c5eb1aeaf6b281f06f79bf4cd51f27635a2615ca790dffe90c9a2ef,
E:\Projects\ECM\ecm_latent_space\docs\stage2_interpretable_ecm_modules.md,E:\Projects\ECM\ecm-program-atlas\docs\project_notes\legacy\stage2_interpretable_ecm_modules.md,copied,0.0025,f768128c09767b418615d4dad8a83d3e27868c753a452a757be10022f0ef8c18,
